Drug	Protein
774	P31389
774	P31390
1130	P31550
1131	P31550
1132	P31550
1345	P16257
1514	P00918
1604	P00918
1611	P00918
1612	P00918
1809	P08908
1809	P28221
1935	P21836
1986	O43570
1986	P00918
1986	P43166
1986	Q16790
1986	Q8N1Q1
1986	Q9ULX7
2119	P07550
2119	P08588
2267	P35367
2303	Q13936
2369	P18090
2405	P08588
2419	P23944
2475	P07550
2475	P08588
2541	P25095
2585	P07550
2585	P08588
2585	P13945
2605	P10826
2605	P13631
2685	P08588
2687	P07550
2687	P08588
2790	Q9JI35
2818	P14842
2818	P35367
2913	P31389
3157	P23944
3157	P43140
3295	P00915
3295	P00918
3295	P43166
3295	Q8N1Q1
3341	P21728
3386	P31645
3682	P07550
3822	P14842
3822	P50129
3869	P07550
3869	P08588
3922	P19793
3922	P28704
3922	P28705
3961	P25095
3961	P34976
4020	P23977
4041	P16257
4108	P08172
4120	P08482
4120	P08483
4120	P10980
4171	P18090
4293	P00918
4316	P00918
4347	P00918
4585	P35367
4828	P07550
4828	P08588
4887	Q2NNR5
4893	P23944
4893	P43140
4946	P07550
4946	P08588
4946	P18090
4946	P54833
4946	Q8K4Z4
4992	P31389
5152	P07550
5163	P30994
5202	P08908
5202	P28221
5202	P34969
5265	P14416
5291	O14757
5291	O43293
5291	O75582
5291	P00519
5291	P00533
5291	P07333
5291	P07949
5291	P09619
5291	P10721
5291	P15056
5291	P22607
5291	P24723
5291	P36888
5291	P42336
5291	P42684
5291	Q08345
5291	Q09013
5291	Q13976
5291	Q15349
5291	Q15418
5291	Q16832
5291	Q96GD4
5291	Q9BZL6
5291	Q9UK32
5291	Q9Y616
5358	P79400
5401	P23944
5401	P43140
5478	P07550
5478	P08588
5556	P14867
5656	P31645
5685	P23944
5685	P43140
5694	P37231
5694	Q07869
5734	P35218
5753	P08235
5754	P08235
5757	P03372
5757	P04278
5757	Q92731
5775	P18089
5839	P08235
5861	P08482
5861	P08483
5861	P10980
5870	P04278
5881	P04278
5888	P04278
5920	P10827
5920	P10828
6005	P14416
6010	P04278
6013	P04278
6018	Q01827
6230	P04278
6230	P06401
6269	P00918
7333	Q99720
8515	P53779
8515	Q9NSY1
9064	P00734
10065	P04278
10633	P04278
10634	P04278
10635	P04278
11291	P31389
13109	P04278
14987	P14842
15020	P04278
15818	P04278
21138	Q28044
27812	P04278
28417	P04278
28864	P79400
33624	Q8K4Z4
37783	P05129
37783	P05771
37783	P15498
37783	P17252
37783	P24723
37783	P28867
37783	Q02156
37783	Q04759
37783	Q05655
38065	Q28044
39147	P07550
43216	Q28044
43815	P31645
43815	P31652
44259	O00444
44259	O00506
44259	O14757
44259	O14936
44259	O14965
44259	O14976
44259	O15075
44259	O15111
44259	O15530
44259	O43293
44259	O60285
44259	O60674
44259	O75116
44259	O75385
44259	O75460
44259	O75582
44259	O75716
44259	O75914
44259	O94768
44259	O94804
44259	O94806
44259	O94921
44259	O95819
44259	O96013
44259	P00519
44259	P00533
44259	P04626
44259	P04629
44259	P06213
44259	P06239
44259	P07332
44259	P07333
44259	P07948
44259	P07949
44259	P08069
44259	P08581
44259	P08631
44259	P08922
44259	P09619
44259	P09769
44259	P0C264
44259	P10721
44259	P11309
44259	P11362
44259	P11799
44259	P11802
44259	P15056
44259	P15735
44259	P16234
44259	P16591
44259	P17612
44259	P17948
44259	P19784
44259	P21709
44259	P21802
44259	P22455
44259	P22694
44259	P23443
44259	P23458
44259	P24723
44259	P24941
44259	P27037
44259	P29317
44259	P29320
44259	P29322
44259	P29323
44259	P30291
44259	P30530
44259	P31152
44259	P31749
44259	P35916
44259	P35968
44259	P36507
44259	P36888
44259	P37023
44259	P37173
44259	P41743
44259	P42336
44259	P42680
44259	P42681
44259	P42684
44259	P43405
44259	P45983
44259	P45984
44259	P45985
44259	P46734
44259	P48730
44259	P49759
44259	P49760
44259	P49840
44259	P50750
44259	P51451
44259	P51813
44259	P51817
44259	P52333
44259	P52564
44259	P53350
44259	P53355
44259	P53779
44259	P54646
44259	P54753
44259	P54760
44259	P54762
44259	P54764
44259	P57059
44259	P80192
44259	Q00526
44259	Q00536
44259	Q02156
44259	Q02750
44259	Q02763
44259	Q04759
44259	Q05655
44259	Q06187
44259	Q06418
44259	Q07912
44259	Q08345
44259	Q08881
44259	Q09013
44259	Q12851
44259	Q12866
44259	Q13043
44259	Q13131
44259	Q13153
44259	Q13163
44259	Q13164
44259	Q13177
44259	Q13188
44259	Q13237
44259	Q13464
44259	Q13470
44259	Q13546
44259	Q13554
44259	Q13557
44259	Q13627
44259	Q13873
44259	Q13882
44259	Q14012
44259	Q14164
44259	Q14289
44259	Q15139
44259	Q15349
44259	Q15418
44259	Q15746
44259	Q15759
44259	Q15835
44259	Q16288
44259	Q16512
44259	Q16513
44259	Q16584
44259	Q16620
44259	Q16659
44259	Q16816
44259	Q2M2I8
44259	Q3U3Q1
44259	Q52WX2
44259	Q56UN5
44259	Q59H18
44259	Q5S007
44259	Q6PHR2
44259	Q6XUX3
44259	Q6ZN16
44259	Q7KZI7
44259	Q7L7X3
44259	Q86UE8
44259	Q86V86
44259	Q8IU85
44259	Q8IVH8
44259	Q8IW41
44259	Q8IWQ3
44259	Q8IYT8
44259	Q8N4C8
44259	Q8N5S9
44259	Q8N752
44259	Q8NEV4
44259	Q8NFD2
44259	Q8NI60
44259	Q8TDC3
44259	Q8WTQ7
44259	Q8WU08
44259	Q8WXR4
44259	Q92918
44259	Q96BR1
44259	Q96D53
44259	Q96GD4
44259	Q96L34
44259	Q96NX5
44259	Q96RR4
44259	Q96SB4
44259	Q99640
44259	Q99683
44259	Q9BRS2
44259	Q9BUB5
44259	Q9BXA7
44259	Q9BYT3
44259	Q9C098
44259	Q9H093
44259	Q9H0K1
44259	Q9H2G2
44259	Q9H2K8
44259	Q9HAZ1
44259	Q9HBH9
44259	Q9HC98
44259	Q9HCP0
44259	Q9JI10
