Drug	Protein
11314340	A0A7I2V365
11314340	B8ZZR0
11314340	A8K7I0
11314340	E7EWJ6
11314340	A0A2R8Y6L5
11314340	M0R2X3
11314340	C9J9P1
11314340	C9JR22
11314340	G3V5Y6
11314340	Q04759
11314340	A0A140VJM3
24889392	H0YAL5
24889392	D6RDX0
24889392	E5RH16
11409972	P42684
11409972	A0A024RA66
11409972	D6RF14
11409972	F5H6D4
11409972	A0A5H1ZRP5
11409972	D6RBJ5
11409972	E5RFT9
11409972	A0A096LPG3
11409972	H0YAL5
11409972	A0A140T9T5
11409972	A0A5F9ZI27
11409972	P29322
11409972	P42685
11409972	H7BXX9
11409972	E9PKD7
11409972	Q8NE63
11409972	A0A0S2Z3Y8
11409972	E5RJ37
11409972	H7C3Z6
11409972	E9PII5
11409972	K7EIN7
11409972	A0A087WSY1
11409972	A0A024RBH0
11409972	D6RDX0
11409972	E5RH16
11409972	A0A5F9ZH68
11409972	A0A0C4DGC9
11409972	J3QS76
11409972	F5H5C7
11409972	P35590
11338033	A0A2R8Y472
11338033	A0A024RA66
11338033	D6RF14
11338033	X6RE90
11338033	A0A096LPG3
11338033	A0A7I2V4Z1
11338033	A0A7I2YQ81
11338033	A0A024RD59
11338033	A0A024R183
11338033	A0A024RBH0
11338033	A0A024R980
10184653	J3KRI9
10184653	E9PDR1
5287969	D6RF14
5287969	X6RE90
5287969	A0A096LPG3
5287969	A0A024RD59
5287969	A0A6Q8PH30
6450551	J3KRJ2
6450551	M0QX60
6450551	H0YAL5
6450551	A0A1W2PNW4
6450551	D6RDX0
6450551	E5RH16
6450551	H0YAL6
11364421	J3KPJ3
11364421	F5H360
11364421	I3L2H5
11364421	A0A087WUH9
11364421	Q9H4B4
16007391	J3KRJ2
16007391	M0QX60
5328940	P42684
5328940	E9PJX5
5328940	Q5JY90
5328940	A0A024QZA8
5328940	C9JXA2
5328940	F8WBU0
5328940	F8W9W0
5328940	P29322
5328940	B1AKC9
5328940	Q541P7
5328940	F8VRI5
5328940	E9PDR1
5328940	Q5TGY6
5328940	P42685
5328940	E5RGT0
5328940	D6RAQ7
5328940	H7BXG4
5328940	A0A0S2Z3Y8
5328940	E5RJ37
5328940	F8WCP4
5328940	F8WBC3
5328940	H7C3Z6
5328940	G3V4Q4
5328940	Q9H0K1
5328940	A0A5F9ZH68
5328940	P12931
5328940	A0A0C4DGC9
5328940	A0A5F9ZGX5
11234052	A0A1W2PNW4
11234052	D6RDX0
11234052	A0A0C4DGC9
11656518	A0A140T9T5
156414	E9PDR1
9933475	H0YAL5
9933475	A0A140T9T5
9933475	A0A1W2PNW4
9933475	E9PD35
9933475	D6RDX0
9933475	E5RH16
9933475	A0A5F9ZH68
9933475	A0A0C4DGC9
11626560	A0A087WZL3
11626560	M0R0W6
11626560	A0A0J9YXG1
11626560	H3BVG6
11626560	E9PHX8
11626560	J3KQS7
11626560	Q5H8Y1
11626560	A0A5F9ZH68
3062316	P42684
3062316	E9PJX5
3062316	P51813
3062316	Q5JY90
3062316	H0YAL5
3062316	H3BUM9
3062316	A0A140T9T5
3062316	A0A5F9ZI27
3062316	P21709
3062316	A0A024QZA8
3062316	C9JXA2
3062316	F8WBU0
3062316	F8W9W0
3062316	P29322
3062316	F8WDG5
3062316	B1AKC9
3062316	P54753
3062316	Q541P7
3062316	A0A0J9YXG1
3062316	F8VRI5
3062316	Q5TGY6
3062316	P42685
3062316	E5RGT0
3062316	D6RAQ7
3062316	H7BXG4
3062316	A0A0S2Z3Y8
3062316	E5RJ37
3062316	D6RDX0
3062316	E5RH16
3062316	Q9H0K1
3062316	P12931
3062316	Q9H3Y6
3062316	D6RB05
3062316	A0A5F9ZGX5
3062316	H0YE48
3062316	D6R9F2
156422	A0A140T9T5
156422	P35590
44150621	E5RH16
44150621	C9J338
176167	A0A7I2YQ81
176167	C9J9P1
176167	C9JR22
176870	D6RAQ7
176870	A0A5F9ZH68
42642645	P42684
42642645	M0QX60
42642645	M0R0W6
42642645	E9PJX5
42642645	D6RF14
42642645	H0YAL5
42642645	A0A140T9T5
42642645	A0A5F9ZI27
42642645	P21709
42642645	A0A024QZA8
42642645	C9JXA2
42642645	F8WBU0
42642645	F8W9W0
42642645	H0Y8K5
42642645	A0A7P0TBL4
42642645	P29322
42642645	F8WDG5
42642645	B1AKC9
42642645	Q541P7
42642645	A0A0J9YXG1
42642645	A0A1W2PNW4
42642645	E9PD35
42642645	P42685
42642645	H7BXG4
42642645	Q8NE63
42642645	A0A0S2Z3Y8
42642645	E5RJ37
42642645	G3V4Q4
42642645	E9PHX8
42642645	K7EIN7
42642645	J3KQS7
42642645	A0A087WSY1
42642645	D6RDX0
42642645	E5RH16
42642645	H0YAL6
42642645	A0A0S2Z4Z8
42642645	Q5H8Y1
42642645	A0A5F9ZH68
42642645	P12931
42642645	Q9H3Y6
42642645	P35590
42642645	I3L334
42642645	H0YNK6
11717001	A0A0S2Z4L5
16725726	A0A087WY56
16725726	M0R275
16725726	A0A5F9ZGZ4
16725726	A0A024R0L8
16725726	H0YK38
16725726	C9JR22
16725726	G3V5Y6
16725726	Q04759
16725726	A0A140VJM3
16725726	A0A024RBU5
11617559	H0YAL5
123631	D6RAQ7
5291	P42684
5291	H0YAL5
5291	A0A140T9T5
5291	A0A5F9ZI27
5291	E5RH16
4908365	F5H5Q2
4908365	M0R0W6
4908365	E9PJX5
4908365	E9PRU7
4908365	H0YAL5
4908365	A0A140T9T5
4908365	D6RDX0
4908365	E5RH16
4908365	B8ZZI5
11427553	F8WCP4
11427553	H0YAL6
11427553	A0A5F9ZH68
11427553	C9JWF7
11427553	B8ZZI5
11427553	C9J338
208908	J3KRI9
126565	E9PG46
126565	Q5QPD1
126565	J3KRJ2
126565	M0QX60
126565	J3KNK0
126565	A0A0C4DGH9
126565	A0A5F9ZH50
126565	H0Y9C2
126565	H0Y6G2
126565	J3KPJ3
126565	F5H360
126565	A0A024RB77
126565	A0A096LPG3
126565	E9PRU7
126565	B8ZZR0
126565	E7EWJ6
126565	A0A2R8Y6L5
126565	M0R2X3
126565	A0A0A0MR56
126565	A0A7P0TAB0
126565	D6RAF9
126565	E9PD35
126565	D6RAQ7
126565	Q15835
126565	D6REW5
126565	Q8WTQ7
126565	F8WAB6
126565	F5GYN6
126565	F8VR40
126565	A0A024RDM3
126565	Q6ZN16
126565	A0A024RAH0
126565	J3KRN4
126565	F8WCP4
126565	H7C3Z6
126565	E9PC69
126565	K7EME4
126565	A0A0D9SFL8
126565	K7EIN7
126565	G3XAK1
126565	F8WBL7
126565	A0A2R8Y4U5
126565	A0A024R0L8
126565	H0YK38
126565	A0A024R183
126565	E5RH16
126565	H3BQ10
126565	C9JME8
126565	H3BP07
126565	Q86V86
126565	K7EKY9
126565	Q16513
126565	H0YAL6
126565	H0YHS9
126565	M0QZC2
126565	C9JKP8
126565	A0A140VJM3
126565	E9PFQ8
126565	J3QLP4
126565	P57078
126565	Q5H8Y1
126565	E5RHR8
126565	Q9H0K1
126565	D6RBF8
126565	E7ETV6
126565	B8ZZI5
126565	E9PNP9
126565	A0A024R273
126565	A0A494C079
126565	C9J338
126565	I3L334
126565	A0A5F9ZGX5
126565	D6RF82
126565	H3BTS3
126565	P43403
11485656	H0YAL5
11485656	A0A1W2PNW4
11485656	E9PD35
11485656	A0A087WSY1
11485656	D6RDX0
11485656	E5RH16
11712649	Q5QPD1
11712649	M0QX60
10074640	H0YAL5
10074640	A0A140T9T5
10074640	A0A5F9ZI27
10074640	D6RDX0
10074640	E5RH16
51004351	A0A5F9ZH50
51004351	A0A7I2V5G3
51004351	K7EKY9
51004351	Q16513
51004351	A0A494C079
11667893	H0YAL5
11667893	A0A1W2PNW4
11667893	E9PD35
11667893	D6RDX0
11667893	E5RH16
9915743	J3KRI9
9915743	F8VRI5
9915743	E9PDR1
9915743	F8WBC3
9915743	G3V4Q4
644241	P42684
644241	A0A140T9T5
447077	P42684
447077	P27037
447077	Q13705
447077	A0A024R0Q9
447077	E9PJX5
447077	D6RGW8
447077	H0YAL5
447077	A0A140T9T5
447077	A0A5F9ZI27
447077	P21709
447077	A0A024QZA8
447077	C9JXA2
447077	F8WBU0
447077	F8W9W0
447077	P29322
447077	F8WDG5
447077	B1AKC9
447077	Q541P7
447077	A0A0J9YXG1
447077	Q5TGY6
447077	A0A1W2PNW4
447077	P42685
447077	E5RGT0
447077	D6RAQ7
447077	H7BXG4
447077	A0A0S2Z3Y8
447077	E5RJ37
447077	D6RDX0
447077	E5RH16
447077	A0A0S2Z4L5
447077	A0A0S2Z4Z8
447077	Q9H0K1
447077	P12931
447077	A0A5F9ZGX5
9884685	B1AKP8
9884685	Q5SW97
9884685	H7C5C3
9884685	A0A2K8FKV1
9884685	E9PDN7
24180719	Q9H3Y6
25243800	A0A1B0GXA9
25243800	P27037
25243800	Q13705
25243800	A0A0S2Z310
25243800	D6RGW8
25243800	J3KNK0
25243800	B1AKP8
25243800	A0A7P0T808
25243800	C9JR22
10113978	H0YAL5
10113978	A0A1W2PNW4
10113978	E9PD35
10113978	D6RDX0
10113978	E5RH16
17755052	H7C5C3
17755052	A0A2K8FKV1
11984591	E9PJX5
11984591	H3BSA1
11984591	M0QYW5
11984591	A0A140T9T5
11984591	A0A1W2PNW4
11984591	E9PD35
11984591	E5RGT0
11984591	F8WAB6
11984591	F5GYN6
11984591	E5RJ37
11984591	A0A494C168
11984591	Q5TBG2
11984591	F8WAG2
11984591	A0A7I2V5R1
11984591	E5RH16
11984591	Q9H4B4
11984591	H0YAL6
11984591	Q5H8Y1
11984591	P12931
11984591	B8ZZI5
11984591	A0A024R273
11984591	A0A494C079
11984591	I3L334
11984591	O75385
11984591	Q8IYT8
11984591	H3BTS3
11984591	P43403
153999	Q86V86
153999	C9J9P1
153999	C9JR22
153999	Q04759
176155	D6RAQ7
176155	H0YD75
176155	A0A0S2Z4Z8
3025986	A0A024RA66
3025986	A0A096LPG3
3025986	A0A7I2V4Z1
3025986	A0A024R183
3025986	A0A024RBH0
10138260	H0YAL5
10138260	A0A1W2PNW4
10138260	H7C3H0
10138260	F8WAB6
10138260	D6RDX0
10138260	E5RH16
10138260	A0A0C4DGC9
216239	H0YAL5
216239	A0A140T9T5
216239	A0A5F9ZI27
216239	Q8NE63
44259	E9PG46
44259	A0A087WY56
44259	Q5QPD1
44259	J3KRJ2
44259	M0QX60
44259	M0R0W6
44259	E9PJX5
44259	J3KNK0
44259	A0A0C4DGH9
44259	F8W6S9
44259	Q5SQQ7
44259	A0A494C109
44259	A0A5F9ZH50
44259	E9PBE8
44259	H0Y9C2
44259	H0Y6G2
44259	J3KPJ3
44259	F5H360
44259	A0A2R8Y472
44259	A0A024RB77
44259	E9PRU7
44259	A8K7I0
44259	E7EWJ6
44259	H0YAL5
44259	F8WCQ3
44259	H0YLP5
44259	M0QYW5
44259	A0A140T9T5
44259	M0R1F3
44259	A0A2R8Y6L5
44259	M0R2X3
44259	C9JXA2
44259	A0A7P0TAB0
44259	D6RAF9
44259	E9PIJ7
44259	Q5TGY6
44259	E9PD35
44259	D6RAQ7
44259	Q15835
44259	Q8WTQ7
44259	H7BXG4
44259	A0A024RD59
44259	F5GYN6
44259	F8VR40
44259	E5RJY4
44259	A0A024RDM3
44259	Q6ZN16
44259	A0A024RAH0
44259	F8WCP4
44259	F8WBC3
44259	H7C3Z6
44259	G3V4Q4
44259	A0A7I2V550
44259	E9PC69
44259	A0A7I2V5G3
44259	K7EKG8
44259	E9PHX8
44259	K7EIN7
44259	G3XAK1
44259	F8WBL7
44259	E9PMP2
44259	Q13177
44259	B1AKS5
44259	A0A024R0L8
44259	H0YK38
44259	A0A024R183
44259	D6RDX0
44259	E5RH16
44259	H3BQ10
44259	C9JME8
44259	H3BP07
44259	A0A024RD25
44259	C9J8V9
44259	Q86V86
44259	K7EKY9
44259	Q16513
44259	H0YAL6
44259	C9J9P1
44259	C9JR22
44259	G3V5Y6
44259	P41743
44259	Q04759
44259	H0YHS9
44259	C9JKP8
44259	A0A140VJM3
44259	A0A024RBU5
44259	J3KRH6
44259	E9PF63
44259	A0A590UK17
44259	E5RHR8
44259	Q9H0K1
44259	A0A5F9ZH68
44259	D6RBF8
44259	E9PNP9
44259	A0A024R273
44259	J3QS76
44259	Q9UL54
44259	F5H5C7
44259	A0A494C079
44259	C9JWT6
44259	J3QR10
44259	C9J338
44259	I3L334
44259	A0A5F9ZGX5
44259	Q9BXA7
44259	O75385
44259	Q8IYT8
44259	H3BTS3
5329102	E9PG46
5329102	M0R0W6
5329102	H7BZ30
5329102	B8ZZR0
5329102	A8K7I0
5329102	E7EWJ6
5329102	H0YAL5
5329102	J3QS70
5329102	B0QY35
5329102	M0QYW5
5329102	A0A1W2PNW4
5329102	D6RAQ7
5329102	F8WAB6
5329102	E5RJY4
5329102	E9PHX8
5329102	G3XAK1
5329102	A0A2R8Y4U5
5329102	B1AKS5
5329102	D6RDX0
5329102	E5RH16
5329102	C9JME8
5329102	H3BP07
5329102	E9PNP9
5329102	C9J338
5329102	O75385
5329102	Q8IYT8
16038120	A0A1B0GXA9
16038120	A0A087WZL3
16038120	M0R0W6
16038120	D6RGW8
16038120	Q5JY90
16038120	F5H360
16038120	B8ZZR0
16038120	D6RAF9
16038120	E9PIJ7
16038120	P42685
16038120	D6RAQ7
16038120	H0YNR0
16038120	M0R3E6
16038120	P14616
16038120	H3BVG6
16038120	A0A7I2V5G3
16038120	K7EKG8
16038120	E9PHX8
16038120	B1AKS5
16038120	C9JME8
16038120	H3BP07
16038120	I3L2H5
16038120	H0YAL6
16038120	Q5H8Y1
16038120	A0A590UK17
16038120	Q9H0K1
16038120	A0A5F9ZH68
16038120	E9PNP9
16038120	J3QS76
16038120	P35590
16038120	I3L334
16038120	A0A5F9ZGX5
16038120	Q9BXA7
16038120	O75385
16038120	Q8IYT8
16038120	H3BTS3
10427712	Q5SW97
10427712	F5H7Y7
10427712	E9PDN7
10427712	Q9BX84
16722836	F8WCQ3
16722836	H0YLP5
16722836	M0QYW5
16722836	D6RAQ7
16722836	B8ZZI5
3038522	H0YAL5
3038522	D6RDX0
3038522	E5RH16
