Drug	Protein
16129704	P00734
5311128	P22888
5311128	P30968
45267103	P08183
25074887	P30968
25074887	P22888
16134395	P08183
16134395	P02768
16134395	P02763
16134395	P01009
16134395	P01130
16134395	P04278
16134395	P02790
5284373	P49069
5284373	Q96LZ3
5284373	P62937
5284373	P30405
5284373	P08684
5284373	P20815
5284373	P08183
5284373	O95342
5284373	Q12908
5284373	Q14973
5284373	Q4U2R8
5284373	Q5T3U5
5284373	Q92887
5284373	Q9UNQ0
5284373	Q9Y6L6
5284373	Q9NPD5
14257662	P37288
448601	P05164
448601	P08684
448601	P08183
448601	Q92887
448601	P02768
16131215	P30968
1051	Q9BYV1
1051	Q99259
1051	P35520
1051	Q16719
1051	P34896
1051	Q9Y697
1051	P17174
1051	P04181
1051	P11926
1051	Q8N5Z0
1051	P80404
1051	Q9NVS9
1051	O95470
1051	P17735
1051	Q16773
1051	O15270
1051	Q9Y600
1051	P19113
1051	Q96A70
1051	P20132
1051	O75600
1051	P23378
1051	P24298
1051	Q9Y617
1051	P13196
1051	P21549
1051	Q96GD0
1051	O15269
1051	P32929
1051	P54687
1051	O15382
1051	O94903
1051	P00505
1051	P11216
1051	P11217
1051	P20711
1051	Q2TU84
1051	Q53ET4
1051	Q59FK2
1051	Q59GM9
1051	Q5JAM2
1051	Q5VZ30
1051	Q6IBS8
1051	Q6YP21
1051	Q6ZQY3
1051	Q96I15
1051	Q6WRI0
1051	Q8IUZ5
1051	Q8IVA8
1051	P34897
1051	P22557
1051	Q8TD30
1051	Q96EN8
1051	Q96GA7
1051	Q9BXA1
1051	Q9GZT4
1051	Q9HD40
1051	Q9NUV7
1051	Q9UGI5
1051	Q9UJX1
70678590	Q99707
70678590	P22033
70678590	Q9UBK8
70678590	Q8IVH4
70678590	Q9Y4U1
70678590	P42898
70678590	Q9BXJ7
70678590	P20061
70678590	P20062
70678590	P27352
70678590	O60494
70678590	P98164
70678590	P33527
91443	P11586
91443	P13995
91443	P48728
91443	O75891
91443	Q99707
91443	O95954
91443	P31939
91443	P34896
91443	P34897
91443	P42898
91443	Q53ET4
91443	Q96DP5
91443	Q92887
6274	P19113
6274	P12081
6274	Q99624
6274	P42357
6274	Q8TF71
34755	Q14749
34755	P17707
34755	P31153
34755	P35520
34755	Q00266
34755	P21964
34755	Q8N1G2
34755	Q9HBK9
1060	O15427
1060	P36021
1060	Q9BYV1
1060	O15375
1060	P30613
1060	O15403
1060	O60669
1060	P11177
1060	P14618
1060	P80404
1060	O15374
1060	O95907
1060	P53985
1060	P11498
1060	O60669
1060	P53985
1060	Q8TF71
1060	Q92959
1060	O15427
6140	P17735
6140	Q9UHI5
6140	Q9Y285
6140	P00439
6140	O95363
6140	Q9NSD9
6140	P07101
6140	Q8TF71
171548	P05166
171548	P50747
171548	Q9HCC0
171548	O00763
171548	Q96RQ3
171548	P11498
171548	P05165
171548	Q13085
171548	Q9Y289
171548	Q8N695
305	Q9Y5K3
305	P22303
305	P49585
305	O14939
305	P06276
305	Q13393
305	Q8TCT1
305	P36544
305	O15244
305	O15245
305	O75751
305	O76082
305	Q9H015
305	Q8WWI5
305	Q53GD3
305	Q8IWA5
305	Q8N4M1
305	Q9GZV3
5962	P30825
5962	O43246
5962	Q8WY07
5962	P52569
5962	Q15046
5962	Q8TF71
5962	Q9H015
6322	P29474
6322	Q8WY07
6322	Q96A70
6322	P04424
6322	P35228
6322	P30825
6322	P78540
6322	O43246
6322	P00966
6322	O76082
6322	Q8TF71
6322	Q9H015
54670067	Q54873
54670067	P24300
54670067	O00469
54670067	O14832
54670067	O60568
54670067	O75936
54670067	P09172
54670067	P19021
54670067	Q32P28
54670067	Q8IVL5
54670067	Q8IVL6
54670067	P13674
54670067	Q8N543
54670067	Q6N063
54670067	Q6NS38
54670067	Q96Q83
54670067	Q9BY66
54670067	Q02809
54670067	Q9NVH6
54670067	Q9NXG6
54670067	Q9GZT9
54670067	Q96KS0
54670067	Q9H6Z9
54670067	Q9UHI7
54670067	Q9UGH3
54670067	P11166
54670067	P11169
54670067	P14672
54670067	P02768
1103	P52788
1103	Q9NWM0
1103	P11926
1103	P41180
1103	P08588
1103	P07550
1103	Q9H015
1103	O15245
5960	P07998
5960	P61626
5960	Q9UJS0
5960	P17174
5960	P45381
5960	P08243
5960	P00966
5960	Q03154
5960	P00505
5960	P14868
5960	O75746
5960	Q12797
5960	P22234
5960	P30520
5960	P43005
5960	Q5T6L4
5960	Q6PI48
5960	Q7L266
5960	Q8N142
5960	P30520
5960	Q8TF71
6262	P04181
6262	P00480
6262	P05089
6262	P54368
6262	P30825
6262	P52569
6262	Q9BXI2
6262	P78540
6262	Q9Y619
6262	P50440
5961	P17812
5961	Q06203
5961	P15104
5961	Q9H2H9
5961	Q96QD8
5961	Q99624
5961	Q15758
5961	Q9UN76
5961	Q9UM01
5961	Q92536
5961	Q01650
5961	Q9UHI5
5961	P82251
5961	Q8TF71
6083	P16220
6083	Q07343
6083	Q9Y478
6083	P49773
6083	Q08499
6083	Q9NR19
6083	Q13131
6083	Q08828
6083	P33121
6083	P09467
6083	P55263
6083	Q13131
6083	P54646
6083	Q9Y478
6083	O43741
6083	P54619
6083	Q9UGJ0
6083	Q9UGI9
5280934	O60427
5280934	O95864
5280934	P32418
5280934	Q8NER1
5280934	Q07869
5280934	Q96RI1
5280934	Q03181
5280934	P37231
5280934	P19793
5280934	Q9NXB9
5280934	Q9NYP7
5280934	O15540
5951	P35520
5951	P20132
5951	Q9GZT4
5951	O15270
5951	O15269
5951	P49591
5951	P21549
5951	Q8TF71
6137	Q9UBK8
6137	Q99707
6137	P50579
6137	Q93088
6137	Q9H2M3
6137	Q8TF71
6057	P07101
6057	Q9Y2Z4
6057	P54577
6057	P17735
6057	P36021
6057	Q8TF71
5280453	P11473
5280453	P31260
5280453	P02774
5281243	P02768
67678	Q9UPY5
67678	O60931
67678	Q8TF71
67678	P82251
67678	Q07837
1110	Q9BXA5
1110	P51649
1110	Q8TCC7
1110	Q9UBX3
1110	Q9BZW2
1110	Q13183
1110	Q8WWT9
493570	Q969G6
493570	P0AFU8
493570	P30043
493570	Q4U2R8
1738118	P15291
1738118	O60513
