Drug	Protein
5893	A4Z6T7
5339	A4Z6T7
311	A0A0S2Z381
439693	A0A0S2Z381
6140	Q9NSD9
9910986	A0A024RB77
9910986	Q00526
123596	B3KXJ4
9910986	A0A024RBB6
9910986	A0A090N7W4
9910986	Q00534
9910986	A0A0S2Z3F9
9910986	P49336
9910986	A0A024R880
2796	O75844
5936	Q9NQE7
564	Q9NQE7
6287	A0A024QZA9
6306	A0A024QZA9
3559	V9HWI0
53359	V9HWI0
5282315	Q16667
5280754	Q16667
123596	Q12866
123631	Q12866
6450551	Q12866
5328940	Q12866
156413	Q12866
11954378	Q12866
11557040	Q12866
6444692	Q12866
1983	V9HW63
448537	V9HW63
2973	V9HW63
60953	O75612
3034010	O75612
6140	O95363
5893	Q08828
60961	Q08828
6083	Q08828
158550	O75310
5936	O00187
564	O00187
5893	Q71UM8
78000	A0A024R5N6
60855	A0A024R5N6
11954371	A0A024R5N6
9433	A0A1B1UZR0
3698	A0A1B1UZR0
2153	A0A1B1UZR0
4197	A0A1B1UZR0
4740	A0A1B1UZR0
2519	A0A1B1UZR0
3182	A0A1B1UZR0
4823	A0A1B1UZR0
60790	A0A1B1UZR0
5663	A0A1B1UZR0
151170	A0A1B1UZR0
23675769	A0A1B1UZR0
110635	A0A1B1UZR0
656652	A0A1B1UZR0
6918034	A0A1B1UZR0
135413523	A0A1B1UZR0
37274	A0A1B1UZR0
135414253	A0A1B1UZR0
9869929	A0A1B1UZR0
135413545	A0A1B1UZR0
4114	Q9Y6A2
2118	Q9Y6A2
5505	Q9Y6A2
5584	Q9Y6A2
4174	Q9Y6A2
4485	Q9Y6A2
2519	Q9Y6A2
3562	Q9Y6A2
2145	Q9Y6A2
3608	Q9Y6A2
2973	Q9Y6A2
5893	O60266
4055	Q9BTZ2
4197	Q92484
4740	Q92484
2519	Q92484
1983	A0A384MTR2
448537	A0A384MTR2
2973	A0A384MTR2
158550	P0DTE4
5282315	Q6FI36
5280754	Q6FI36
5893	B7Z2C7
5893	O43306
5936	O60259
564	O60259
5282315	Q9Y6W6
5280754	Q9Y6W6
1986	A0A024RBW9
3639	A0A024RBW9
3038	A0A024RBW9
2720	A0A024RBW9
5734	A0A024RBW9
68844	A0A024RBW9
6918132	A0A024RBW9
4100	A0A024RBW9
13290219	A0A024RBW9
60692	A0A024RBW9
5282315	Q9UNI6
5280754	Q9UNI6
5893	Q86YI0
564	Q99895
2329	Q99895
60953	Q99685
5893	Q4F7X0
5339	O15111
5893	O60503
60837	E5KMK7
151114	E5KMK7
153751	E5KMK7
60699	E5KMK7
451415	E5KMK7
472335	E5KMK7
60953	Q05315
5936	O14773
5936	Q4FEB3
564	Q4FEB3
5893	P07327
5893	V9HW50
5893	P00326
4197	P09543
4740	P09543
2519	P09543
5893	Q6IRT1
5282315	Q9H1R2
5280754	Q9H1R2
78000	B3KR54
60855	B3KR54
11954371	B3KR54
60953	P22760
2520	P22760
123596	Q8NER5
5893	P40394
5281081	A0A140VJG8
4659569	A0A140VJG8
37542	P55263
6083	P55263
5282315	Q96MI6
5280754	Q96MI6
4197	Q6UWR7
4740	Q6UWR7
2519	Q6UWR7
5282315	Q8WVY7
5280754	Q8WVY7
311	P15086
6049	A0A384N679
10917	B2RAQ8
10917	A0A140VK13
5282315	Q8WTR2
5280754	Q8WTR2
54676038	Q08257
311	A0A024RB75
163751	L7RSM2
23724856	L7RSM2
156422	L7RSM2
123596	P07333
123631	P07333
6450551	P07333
5328940	P07333
156413	P07333
11954378	P07333
11557040	P07333
6444692	P07333
123596	A8K3B6
5282315	A0A024R1L2
5280754	A0A024R1L2
564	P17538
2329	P17538
3385	A0A0S2Z634
2973	P08574
1983	A0N0X8
