Drug	Protein
2519	A0A024RDT2
5717	Q38Q88
2161	Q38Q88
50294	Q38Q88
2247	Q9Y5N1
3100	Q9Y5N1
5702160	Q9Y5N1
4927	Q9Y5N1
4011	Q9Y5N1
174174	Q53XZ3
657201	Q53XZ3
2769	Q53XZ3
135398737	Q53XZ3
5593	Q53XZ3
135398745	Q53XZ3
4634	Q53XZ3
4927	Q53XZ3
5831	Q53XZ3
5910	Q53XZ3
11693	Q53XZ3
443879	Q53XZ3
23724781	Q53XZ3
4168	Q53XZ3
2381	Q53XZ3
107979	Q53XZ3
122824	Q53XZ3
216457	Q53XZ3
71405	Q53XZ3
71177	Q53XZ3
10429215	Q53XZ3
11224	Q53XZ3
5440	Q53XZ3
2520	Q53XZ3
4940	Q53XZ3
6726	Q53XZ3
3055	Q53XZ3
174174	Q86SJ1
657201	Q86SJ1
2769	Q86SJ1
135398737	Q86SJ1
5593	Q86SJ1
135398745	Q86SJ1
4634	Q86SJ1
4927	Q86SJ1
5831	Q86SJ1
11693	Q86SJ1
443879	Q86SJ1
60168	Q86SJ1
441351	Q86SJ1
2381	Q86SJ1
71177	Q86SJ1
10429215	Q86SJ1
5440	Q86SJ1
2520	Q86SJ1
4940	Q86SJ1
6726	Q86SJ1
3055	Q86SJ1
174174	A0A024R3W1
657201	A0A024R3W1
135398745	A0A024R3W1
4927	A0A024R3W1
444030	A0A024R3W1
71177	A0A024R3W1
10429215	A0A024R3W1
5440	A0A024R3W1
4940	A0A024R3W1
6726	A0A024R3W1
444031	A0A024R3W1
3055	A0A024R3W1
174174	P08173
5593	P08173
135398745	P08173
4927	P08173
71177	P08173
10429215	P08173
5440	P08173
4940	P08173
174174	A0A024R9I2
135398745	A0A024R9I2
4927	A0A024R9I2
71177	A0A024R9I2
10429215	A0A024R9I2
5440	A0A024R9I2
4940	A0A024R9I2
5717	Q15722
16078	S5TLS4
9433	P30542
3446	P30542
2519	P30542
23675769	P30542
21850	P30542
9433	X5DNB4
2519	X5DNB4
23675769	X5DNB4
21850	X5DNB4
2153	P29275
2519	P29275
1676	P29275
9433	P0DMS8
2519	P0DMS8
2585	B0ZBE0
2803	B0ZBE0
135398737	B0ZBE0
5073	B0ZBE0
4485	B0ZBE0
135398745	B0ZBE0
91430	B0ZBE0
4828	B0ZBE0
20179	B0ZBE0
68552	B0ZBE0
68546	B0ZBE0
441411	B0ZBE0
6081	B0ZBE0
66259	B0ZBE0
5362376	B0ZBE0
5265	B0ZBE0
68551	B0ZBE0
8248	B0ZBE0
157313	B0ZBE0
5312125	B0ZBE0
5815	B0ZBE0
11954233	B0ZBE0
65328	B0ZBE0
2520	B0ZBE0
4940	B0ZBE0
2585	P35368
2803	P35368
135398737	P35368
5073	P35368
4485	P35368
135398745	P35368
91430	P35368
4828	P35368
68552	P35368
68546	P35368
441411	P35368
6081	P35368
66259	P35368
5362376	P35368
5265	P35368
68551	P35368
8248	P35368
157313	P35368
5312125	P35368
5815	P35368
11954233	P35368
65328	P35368
2520	P35368
4940	P35368
5816	P35348
2585	P35348
2803	P35348
135398737	P35348
5073	P35348
4485	P35348
135398745	P35348
4927	P35348
4748	P35348
91430	P35348
4828	P35348
68552	P35348
68546	P35348
13109	P35348
4493	P35348
441411	P35348
6081	P35348
66259	P35348
5362376	P35348
5265	P35348
68551	P35348
8248	P35348
71764	P35348
157313	P35348
5312125	P35348
5815	P35348
11954233	P35348
65328	P35348
2520	P35348
4940	P35348
4011	P35348
2157	P35348
3559	P08913
2585	P08913
2726	P08913
2803	P08913
135398737	P08913
3446	P08913
4485	P08913
135398745	P08913
91430	P08913
4828	P08913
5311068	P08913
4205	P08913
20179	P08913
71401	P08913
68552	P08913
68546	P08913
49659	P08913
441411	P08913
66259	P08913
8248	P08913
157313	P08913
54405	P08913
5815	P08913
65328	P08913
3105	P08913
2520	P08913
6431825	P08913
23724898	P08913
5702063	P08913
3559	P18089
2585	P18089
2726	P18089
2803	P18089
135398737	P18089
4485	P18089
135398745	P18089
91430	P18089
4828	P18089
4205	P18089
20179	P18089
71401	P18089
68552	P18089
68546	P18089
49659	P18089
441411	P18089
