Drug	Protein
3019	Q6IAE6
2520	Q6IAE6
2520	A0A024RAV7
3446	Q9Y698
4485	Q9Y698
1775	Q9Y698
3562	Q9Y698
16362	Q9Y698
4499	Q9Y698
4507	Q9Y698
1547484	Q9Y698
2520	Q9Y698
9433	A0A024R730
3488	A0A024R730
64119	A0A024R730
23675769	A0A024R730
23669229	A0A024R730
145742	B2R8J1
122142	Q9UI33
5362471	Q53SH4
13221	Q53SH4
4168	Q53SH4
6321303	Q53SH4
121587	Q53SH4
5938	Q53SH4
23422	Q53SH4
21155870	Q53SH4
6419928	Q53SH4
2735102	Q53SH4
9795678	Q53SH4
5362471	Q15822
4737	Q15822
5831	Q15822
13221	Q15822
4168	Q15822
62886	Q15822
60168	Q15822
24244	Q15822
441351	Q15822
2381	Q15822
6321303	Q15822
121587	Q15822
5938	Q15822
23422	Q15822
89594	Q15822
21155870	Q15822
5360696	Q15822
6419928	Q15822
2735102	Q15822
9795678	Q15822
5362471	P32297
4737	P32297
5831	P32297
13221	P32297
4168	P32297
6321303	P32297
121587	P32297
5938	P32297
23422	P32297
89594	P32297
21155870	P32297
6419928	P32297
2735102	P32297
9795678	P32297
5362471	Q59FV0
4737	Q59FV0
5831	Q59FV0
13221	Q59FV0
4168	Q59FV0
6321303	Q59FV0
121587	Q59FV0
5938	Q59FV0
23422	Q59FV0
21155870	Q59FV0
6419928	Q59FV0
2735102	Q59FV0
9795678	Q59FV0
5362471	Q6EWN4
13221	Q6EWN4
6321303	Q6EWN4
121587	Q6EWN4
5938	Q6EWN4
23422	Q6EWN4
21155870	Q6EWN4
6419928	Q6EWN4
2735102	Q6EWN4
9795678	Q6EWN4
5362471	P36544
13221	P36544
4168	P36544
6321303	P36544
121587	P36544
5938	P36544
23422	P36544
21155870	P36544
6419928	P36544
2735102	P36544
9795678	P36544
4168	P11230
4737	Q5SXY3
5831	Q5SXY3
2145	Q5SXY3
4168	Q5SXY3
2187	Q5SXY3
60198	Q5SXY3
3902	Q5SXY3
89594	Q5SXY3
4168	Q07001
4737	Q04844
5831	Q04844
4168	Q04844
89594	Q04844
3446	Q8TCU5
3331	Q8TCU5
15851	Q8TCU5
5070	Q8TCU5
122824	Q8TCU5
5360696	Q8TCU5
6420042	Q8TCU5
3559	Q5F0I5
15851	Q5F0I5
6420042	Q5F0I5
157920	P51788
3019	Q8TDN2
2520	Q8TDN2
65340	Q8WXA8
6918003	Q8WXA8
59774	Q8WXA8
656664	Q8WXA8
65340	Q70Z44
6918003	Q70Z44
59774	Q70Z44
656664	Q70Z44
2519	Q32MC3
3019	Q9UJ90
2520	Q9UJ90
3019	A5H1P5
2520	A5H1P5
2118	A8K177
3016	A8K177
3393	A8K177
3440	A8K177
31640	A8K177
4616	A8K177
4909	A8K177
4737	A8K177
5719	A8K177
5284627	A8K177
3562	A8K177
3226	A8K177
4116	A8K177
3763	A8K177
42113	A8K177
5206	A8K177
667484	A8K177
4943	A8K177
4192	A8K177
23706210	A8K177
3373	A8K177
5281077	A8K177
15851	A8K177
3608	A8K177
2789	A8K177
23422	A8K177
656845	A8K177
22502	A8K177
2479	A8K177
9034	A8K177
23724987	A8K177
3032285	A8K177
2118	A0A024R9X6
3016	A0A024R9X6
3393	A0A024R9X6
3440	A0A024R9X6
4737	A0A024R9X6
5719	A0A024R9X6
3763	A0A024R9X6
5206	A0A024R9X6
667484	A0A024R9X6
4943	A0A024R9X6
4192	A0A024R9X6
15851	A0A024R9X6
23422	A0A024R9X6
656845	A0A024R9X6
22502	A0A024R9X6
23724987	A0A024R9X6
2118	P34903
3016	P34903
3393	P34903
3440	P34903
4737	P34903
5719	P34903
3763	P34903
5206	P34903
667484	P34903
4943	P34903
4192	P34903
15851	P34903
23422	P34903
656845	P34903
22502	P34903
23724987	P34903
2118	X5D7F5
3016	X5D7F5
3393	X5D7F5
3440	X5D7F5
4737	X5D7F5
5719	X5D7F5
3763	X5D7F5
5206	X5D7F5
667484	X5D7F5
4943	X5D7F5
4192	X5D7F5
15851	X5D7F5
23422	X5D7F5
656845	X5D7F5
22502	X5D7F5
23724987	X5D7F5
2118	P31644
3016	P31644
3393	P31644
3440	P31644
4737	P31644
5719	P31644
3763	P31644
5206	P31644
667484	P31644
4943	P31644
4192	P31644
15851	P31644
23422	P31644
656845	P31644
22502	P31644
23724987	P31644
2118	Q16445
3016	Q16445
3393	Q16445
3440	Q16445
4737	Q16445
5719	Q16445
3763	Q16445
5206	Q16445
667484	Q16445
4943	Q16445
4192	Q16445
15851	Q16445
23422	Q16445
656845	Q16445
22502	Q16445
23724987	Q16445
2118	X5DNL6
3016	X5DNL6
3393	X5DNL6
4737	X5DNL6
5719	X5DNL6
3763	X5DNL6
5206	X5DNL6
667484	X5DNL6
4943	X5DNL6
4192	X5DNL6
2118	P47870
3016	P47870
3393	P47870
4737	P47870
5719	P47870
3763	P47870
5206	P47870
667484	P47870
4943	P47870
4192	P47870
2118	P28472
3016	P28472
3393	P28472
4737	P28472
5719	P28472
3763	P28472
5206	P28472
667484	P28472
4943	P28472
4192	P28472
2118	A8K496
3016	A8K496
3393	A8K496
4737	A8K496
5719	A8K496
3763	A8K496
5206	A8K496
667484	A8K496
4943	A8K496
4192	A8K496
2118	P78334
3016	P78334
3393	P78334
4737	P78334
5719	P78334
3763	P78334
5206	P78334
667484	P78334
4943	P78334
4192	P78334
2118	P18507
3016	P18507
3393	P18507
4737	P18507
5719	P18507
3763	P18507
5206	P18507
667484	P18507
4943	P18507
4192	P18507
2118	Q99928
3016	Q99928
3393	Q99928
4737	Q99928
5719	Q99928
3763	Q99928
5206	Q99928
667484	Q99928
4943	Q99928
4192	Q99928
2118	P24046
3016	P24046
3393	P24046
4737	P24046
5719	P24046
3763	P24046
5206	P24046
667484	P24046
4943	P24046
4192	P24046
3016	P28476
5719	P28476
4943	P28476
3019	Q9UJ96
2520	Q9UJ96
3019	Q6PIU1
2520	Q6PIU1
3446	A0A024R8J8
4485	A0A024R8J8
1775	A0A024R8J8
3562	A0A024R8J8
16362	A0A024R8J8
4499	A0A024R8J8
4507	A0A024R8J8
1547484	A0A024R8J8
2520	A0A024R8J8
3019	Q9NPA1
2520	Q9NPA1
3019	Q8NCM2
64642	Q8NCM2
71329	Q8NCM2
64640	Q8NCM2
2520	Q8NCM2
3019	Q86W47
2520	Q86W47
3016	P23415
3331	P23415
3562	P23415
3226	P23415
4116	P23415
3763	P23415
42113	P23415
5206	P23415
4943	P23415
656664	P23415
3016	P23416
3331	P23416
5206	P23416
4943	P23416
656664	P23416
3016	P48167
3331	P48167
5206	P48167
4943	P48167
135398737	A5X5Y0
5358	A5X5Y0
4828	A5X5Y0
65340	A5X5Y0
6918003	A5X5Y0
59774	A5X5Y0
4168	A5X5Y0
656664	A5X5Y0
3019	Q59GL5
3562	Q59GL5
3226	Q59GL5
4116	Q59GL5
3763	Q59GL5
42113	Q59GL5
5206	Q59GL5
5070	Q59GL5
3019	P42262
5070	P42262
2910	P42262
3019	Q17R51
5070	Q17R51
3019	Q1WWK6
5070	Q1WWK6
5070	O43424
5284627	P39086
5070	P39086
11954253	P39086
11954253	A0A8D9PH75
5070	Q13003
11954253	Q13003
5070	B2RAP6
11954253	B2RAP6
5070	Q16478
11954253	Q16478
3559	Q05586
15851	Q05586
6420042	Q05586
3559	Q547U9
15851	Q547U9
6420042	Q547U9
3559	A0A8D9PHB2
15851	A0A8D9PHB2
6420042	A0A8D9PHB2
3559	O15398
15851	O15398
6420042	O15398
3559	Q59G17
15851	Q59G17
6420042	Q59G17
135398737	B4E398
5358	B4E398
4595	B4E398
4828	B4E398
4205	B4E398
65340	B4E398
6918003	B4E398
59774	B4E398
4168	B4E398
656664	B4E398
89594	B4E398
5284566	B4E398
3446	Q14643
4485	Q14643
1775	Q14643
3562	Q14643
16362	Q14643
4499	Q14643
4507	Q14643
1547484	Q14643
2520	Q14643
3446	Q59ES2
4485	Q59ES2
1775	Q59ES2
3562	Q59ES2
16362	Q59ES2
4499	Q59ES2
4507	Q59ES2
1547484	Q59ES2
2520	Q59ES2
3019	Q09470
3226	Q09470
4116	Q09470
3763	Q09470
42113	Q09470
5206	Q09470
62920	Q09470
41022	Q09470
2520	Q09470
3037122	Q09470
3019	P16389
62920	P16389
41022	P16389
2520	P16389
3037122	P16389
3019	P22001
62920	P22001
62969	P22001
2723885	P22001
61367	P22001
2520	P22001
3037122	P22001
3019	P22459
41114	P22459
64642	P22459
64640	P22459
2520	P22459
3019	P22460
3957	P22460
62920	P22460
41022	P22460
36708	P22460
64642	P22460
5282419	P22460
64640	P22460
2520	P22460
3037122	P22460
3019	P17658
2520	P17658
3019	Q96RP8
62969	Q96RP8
441325	Q96RP8
41022	Q96RP8
64642	Q96RP8
64640	Q96RP8
2520	Q96RP8
3019	Q16322
47576	Q16322
62969	Q16322
2520	Q16322
3019	Q14721
2520	Q14721
3019	P48547
62920	P48547
41022	P48547
2520	P48547
3037122	P48547
3019	A0A024RBA5
62969	A0A024RBA5
2520	A0A024RBA5
3019	Q14003
2520	Q14003
3019	Q03721
2520	Q03721
3019	Q9NSA2
2520	Q9NSA2
3019	A4D0V9
2520	A4D0V9
3019	Q9UK17
5282419	Q9UK17
2520	Q9UK17
2735102	Q9UK17
3019	Q6FHJ6
3702	Q6FHJ6
2520	Q6FHJ6
3019	Q9H3M0
2520	Q9H3M0
3019	Q86Y85
2520	Q86Y85
3019	O95259
64642	O95259
64640	O95259
2520	O95259
2247	A0A090N8Q0
2769	A0A090N8Q0
3019	A0A090N8Q0
47576	A0A090N8Q0
5405	A0A090N8Q0
71329	A0A090N8Q0
5281065	A0A090N8Q0
656684	A0A090N8Q0
2520	A0A090N8Q0
37392	A0A090N8Q0
1989	A8K432
3019	A8K432
3478	A8K432
3488	A8K432
5503	A8K432
5505	A8K432
4201	A8K432
3476	A8K432
65981	A8K432
5311309	A8K432
2520	A8K432
3019	P63252
2520	P63252
3019	P48549
2520	P48549
3019	A0A024R1L8
2520	A0A024R1L8
3019	A0A5J6E2W8
2520	A0A5J6E2W8
3019	P48051
3386	P48051
5452	P48051
62969	P48051
66062	P48051
62857	P48051
5282419	P48051
2520	P48051
6420042	P48051
3019	A0A024RAV6
2520	A0A024RAV6
3019	Q92806
2520	Q92806
3019	P78508
2520	P78508
3478	A0A804HHV7
5503	A0A804HHV7
5281065	A0A804HHV7
3475	A0A804HHV7
71793	A0A804HHV7
6918235	A0A804HHV7
3019	Q14500
2520	Q14500
3019	O60928
2520	O60928
3019	Q99712
2520	Q99712
3019	Q9NPI9
2520	Q9NPI9
3019	A0A024R3T2
5281065	A0A024R3T2
2520	A0A024R3T2
64642	Q6ZW95
71329	Q6ZW95
64640	Q6ZW95
3019	Q12791
3639	Q12791
2720	Q12791
3562	Q12791
