Drug	Protein
444795	F1D8P4
5994	G4XH65
5870	G4XH65
5757	G4XH65
23667301	G4XH65
6446	G4XH65
5991	G4XH65
448537	G4XH65
667476	G4XH65
13109	G4XH65
13109	G4XH65
6420009	G4XH65
104741	G4XH65
9270	G4XH65
54900	G4XH65
40973	G4XH65
259331	G4XH65
5757	Q7LCB3
448537	Q7LCB3
104741	Q7LCB3
54900	Q7LCB3
259331	Q7LCB3
448537	Q569H8
448537	O95718
448537	F1D8R5
5754	F1D8N4
5281004	F1D8N4
55245	F1D8N4
443958	F1D8N4
444025	F1D8N4
985	Q14541
6013	Q9NUA2
6446	Q9NUA2
5878	Q9NUA2
55245	Q9NUA2
3397	Q9NUA2
229455	Q9NUA2
2375	Q9NUA2
4493	Q9NUA2
5833	B0ZBF6
55245	B0ZBF6
443872	B0ZBF6
5994	P06401
6230	P06401
55245	P06401
441336	P06401
13109	P06401
6279	P06401
13109	P06401
9051	P06401
9270	P06401
40973	P06401
2796	F1D8S4
3339	F1D8S4
5281055	P37231
65999	P37231
444795	Q6I9R7
5282375	Q6I9R7
5282379	Q6I9R7
5381	Q6I9R7
444795	P10826
5282375	P10826
5381	P10826
444795	A8K3H3
5282375	A8K3H3
5381	A8K3H3
5997	P35398
123596	P35398
444795	Q6I9R9
444795	Q6P3U7
5282375	Q6P3U7
5381	Q6P3U7
444795	Q5STP9
5282375	Q5STP9
5381	Q5STP9
444795	F1D8Q7
5282375	F1D8Q7
5381	F1D8Q7
5280453	F1D8P8
5280793	F1D8P8
5280795	F1D8P8
5311071	F1D8P8
5281104	F1D8P8
8955	O75469
135398735	O75469
2482	O75469
4763	Q14994
10133	Q96RI1
