param_database	param_hidden_channels	param_learning_rate	param_nb_hidden_layer	param_layer_type	param_act	param_aggr_type	param_n_heads	param_p	auc_train	auc_val	auc_test	aupr_train	aupr_val	aupr_test	iter	time
drugbank	3	0.01	4	sage	tanh	sum		0.0	0.927522	0.916441	0.916275	0.930789132290658	0.9194683020528446	0.9149682113274896	999	0.723953652381897
drugbank	3	0.01	4	sage	tanh	sum		0.2	0.911546	0.906463	0.912871	0.9144836948830042	0.9033208901625882	0.907644003384376	999	0.7379138469696045
drugbank	3	0.01	4	sage	tanh	sum		0.5	0.896025	0.901268	0.89782	0.9110229518668844	0.9112341687410748	0.9098626025101384	999	0.7733912269274393
drugbank	4	0.01	4	sage	tanh	sum		0.0	0.929123	0.9213	0.927128	0.9355725037134526	0.9279908332603516	0.9293362511375975	999	0.7836394906044006
drugbank	4	0.01	4	sage	tanh	sum		0.2	0.908875	0.921826	0.921087	0.918977668268974	0.928203219265418	0.9239544420986534	999	0.7991763353347778
drugbank	4	0.01	4	sage	tanh	sum		0.5	0.901599	0.905987	0.905645	0.9115943854141686	0.918380696591684	0.9169021962891754	999	0.8082798004150391
drugbank	5	0.01	4	sage	tanh	sum		0.0	0.939443	0.924552	0.927658	0.9440450108633194	0.9268750717208684	0.930094928366644	529	0.4354483842849731
drugbank	5	0.01	4	sage	tanh	sum		0.2	0.925889	0.922151	0.928878	0.9340128645987064	0.9274524819500708	0.9327170112856308	999	0.8290358185768127
drugbank	5	0.01	4	sage	tanh	sum		0.5	0.913188	0.914889	0.918372	0.9238153272010472	0.9238366620863256	0.9230706658970363	999	0.8441121776898702
drugbank	6	0.01	4	sage	tanh	sum		0.0	0.943499	0.932251	0.916977	0.946453869582688	0.9362024374963132	0.9198717216127918	999	0.8296047409375509
drugbank	6	0.01	4	sage	tanh	sum		0.2	0.926588	0.933636	0.926987	0.9351439432658046	0.939978038300492	0.9296675723197644	999	0.874053970972697
drugbank	6	0.01	4	sage	tanh	sum		0.5	0.910357	0.913348	0.921198	0.9218961758812514	0.9239217399456002	0.928192996247298	999	0.8751644690831503
drugbank	7	0.01	4	sage	tanh	sum		0.0	0.933397	0.918509	0.92383	0.9410363707830892	0.9235743444734116	0.926763105291148	586	0.5100368221600851
drugbank	7	0.01	4	sage	tanh	sum		0.2	0.936813	0.92763	0.931445	0.9432206306065304	0.9301266581455374	0.9353941038244088	999	0.8784435550371806
drugbank	7	0.01	4	sage	tanh	sum		0.5	0.923654	0.925936	0.927103	0.9314667781247754	0.9319823604556718	0.9300554188235312	999	0.8762448708216349
drugbank	8	0.01	4	sage	tanh	sum		0.0	0.941921	0.925536	0.930332	0.9470611651767816	0.9282740829613512	0.9337126557220904	395	0.341921850045522
drugbank	8	0.01	4	sage	tanh	sum		0.2	0.92995	0.922764	0.936515	0.9377958210745556	0.9248194096042608	0.9405068544733288	999	0.8767668406168619
drugbank	8	0.01	4	sage	tanh	sum		0.5	0.92231	0.923224	0.933041	0.9322564681006796	0.931700661962056	0.9368873023950948	999	0.878350575764974
drugbank	9	0.01	4	sage	tanh	sum		0.0	0.942089	0.928181	0.932245	0.9461195244166276	0.930738529620523	0.933848877530429	724	0.6380209763844807
drugbank	9	0.01	4	sage	tanh	sum		0.2	0.936266	0.930361	0.935818	0.9414224468377892	0.9333050165535254	0.9349744616197856	999	0.8901251077651977
