param_database	param_hidden_channels	param_learning_rate	param_nb_hidden_layer	param_layer_type	param_act	param_aggr_type	param_n_heads	param_p	auc_train	auc_val	auc_test	aupr_train	aupr_val	aupr_test	iter	time
drugbank	7	0.01	1	sage	relu	sum		0.0	0.906956	0.902969	0.894956	0.9185624185056996	0.9151518668149794	0.9103980080412452	999	0.5634736816088358
drugbank	7	0.01	1	sage	relu	mean		0.0	0.88591	0.861277	0.860526	0.8880429968631945	0.865345683159938	0.8578223605382429	821	0.4721179048220316
drugbank	7	0.01	1	sage	relu	max		0.0	0.862869	0.831189	0.846238	0.87126145452101	0.8388268974120143	0.854770640258698	312	0.1797766168912251
drugbank	7	0.01	2	sage	relu	sum		0.0	0.924192	0.913877	0.9044	0.9330830132830532	0.9235581657638804	0.9154216795876292	999	0.6548974514007568
drugbank	7	0.01	2	sage	relu	mean		0.0	0.887285	0.857433	0.865994	0.8904174050871573	0.8505125063243346	0.8593980113444111	273	0.1955477635065714
drugbank	7	0.01	2	sage	relu	max		0.0	0.90887	0.890309	0.898741	0.9096161225077788	0.8926487986613812	0.8915032953555961	999	0.6399600267410278
drugbank	7	0.01	2	sage	relu	sum		0.2	0.926631	0.916745	0.920766	0.935743522922519	0.922722811629232	0.9267203784563142	999	0.626858099301656
drugbank	7	0.01	2	sage	relu	mean		0.2	0.884369	0.851546	0.859763	0.884736795186638	0.8540223551848283	0.8544405252425382	654	0.4162941296895345
drugbank	7	0.01	2	sage	relu	max		0.2	0.918007	0.901184	0.910663	0.926258226934481	0.9064058558651076	0.9108687792093956	999	0.6259693741798401
drugbank	7	0.01	2	sage	relu	sum		0.5	0.921574	0.92896	0.924381	0.9325940228606696	0.9326007905669078	0.9317456494686722	999	0.6240381081899007
drugbank	7	0.01	2	sage	relu	mean		0.5	0.600474	0.532328	0.480872	0.5583995771362945	0.5152660267777731	0.4863975309218911	156	0.0988632003466288
